2026-02-28 14:02:47,633 | werkzeug             | INFO     | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.102:5000
2026-02-28 14:07:34,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:37,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:39,556 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:42,875 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:44,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:44] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:47,880 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:47] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:49,559 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:49] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:52,880 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:54,546 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:54] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:57,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:57] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:07:59,546 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:07:59] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:02,882 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:02] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:04,555 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:04] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:07,874 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:07] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:09,541 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:12,879 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:14,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:17,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:19,546 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:22,886 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:24,555 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:27,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:29,554 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:32,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:32] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:34,559 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:37,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:39,551 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:42,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:44,553 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:44] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:47,882 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:47] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:49,551 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:49] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:52,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:54,545 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:54] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:57,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:57] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:08:59,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:08:59] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:02,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:02] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:04,547 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:04] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:07,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:07] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:09,544 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:12,881 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:14,556 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:17,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:19,548 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:22,883 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:24,553 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:27,886 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:29,549 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:32,888 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:32] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:34,556 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:37,883 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:39,547 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:42,887 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:44,552 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:44] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:47,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:47] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:49,557 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:49] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:52,883 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:09:54,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:09:54] "GET /api/status HTTP/1.1" 200 -
