2026-03-08 03:05:56,976 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'automotive' in Calgary, Alberta
2026-03-08 03:05:57,014 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Vancouver; running total: 0
2026-03-08 03:05:57,014 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 28 search terms across 4 workers for 'barber shops' in Vancouver, British Columbia
2026-03-08 03:05:57,072 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Edmonton; running total: 0
2026-03-08 03:05:57,072 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 28 search terms across 4 workers for 'barber shops' in Edmonton, Alberta
2026-03-08 03:05:57,134 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Calgary; running total: 0
2026-03-08 03:05:57,134 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 28 search terms across 4 workers for 'barber shops' in Calgary, Alberta
2026-03-08 03:06:00,708 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Vancouver, British Columbia
2026-03-08 03:06:00,737 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Edmonton, Alberta
2026-03-08 03:06:00,806 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Calgary, Alberta
2026-03-08 03:06:00,852 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Vancouver; running total: 0
2026-03-08 03:06:00,852 | leadparser.main      | INFO     |   Pass 2 result: 0/100 leads pass filters
2026-03-08 03:06:00,852 | leadparser.main      | INFO     |   Retry pass 3/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:06:00,852 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Vancouver, British Columbia
2026-03-08 03:06:00,872 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
