2026-03-08 03:14:47,096 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:47,460 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'automotive'
2026-03-08 03:14:47,684 | XHRGoogleMapsScraper | INFO     |   'automotive': +0 (total: 0/330)
2026-03-08 03:14:48,407 | XHRGoogleMapsScraper | INFO     |   'auto repair shops': +0 (total: 0/330)
2026-03-08 03:14:49,494 | XHRGoogleMapsScraper | INFO     |   'auto detailing': +0 (total: 0/330)
2026-03-08 03:14:50,512 | XHRGoogleMapsScraper | INFO     |   'auto body shops': +0 (total: 0/330)
2026-03-08 03:14:51,457 | XHRGoogleMapsScraper | INFO     |   'tire shops': +0 (total: 0/330)
2026-03-08 03:14:52,590 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:14:54,195 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:14:55,384 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:14:56,317 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:14:57,401 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:57,535 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Edmonton; running total: 0
2026-03-08 03:14:57,536 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:57,889 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:14:58,151 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:14:59,165 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:15:00,165 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:15:01,629 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:15:02,429 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:15:03,601 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:15:04,289 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:15:05,204 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:15:06,665 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:15:07,426 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:15:08,439 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:15:09,594 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:15:10,237 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:15:11,450 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:15:12,331 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:15:13,892 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:15:14,860 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:15:16,487 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:15:17,948 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:15:18,713 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:15:19,387 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:15:20,180 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:15:21,735 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:15:22,805 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:15:23,566 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
