2026-03-08 00:24:46,622 | GoogleMapsScraper    | INFO     |   [41/200] Extracting: https://www.google.com/maps/place/Cork+%26+Barley/data=!4m7!3m6!1s0x53a03d8aa0d1…
2026-03-08 00:24:56,442 | GoogleMapsScraper    | INFO     |   [42/200] Extracting: https://www.google.com/maps/place/Jamaican+Jerk+Shak/data=!4m7!3m6!1s0x53a021e21…
2026-03-08 00:25:05,435 | GoogleMapsScraper    | INFO     |   [43/200] Extracting: https://www.google.com/maps/place/Yemen+Kitchen+Ltd/data=!4m7!3m6!1s0x53a019f95f…
2026-03-08 00:25:12,583 | GoogleMapsScraper    | INFO     |   [44/200] Extracting: https://www.google.com/maps/place/Montana%E2%80%99s+BBQ+%26+Bar/data=!4m7!3m6!1s…
2026-03-08 00:25:19,435 | GoogleMapsScraper    | INFO     |   [45/200] Extracting: https://www.google.com/maps/place/Melting+Pot/data=!4m7!3m6!1s0x53a01ed8d7f73897…
2026-03-08 00:25:29,939 | GoogleMapsScraper    | INFO     |   [46/200] Extracting: https://www.google.com/maps/place/Rockin%27+Robyn%27s/data=!4m7!3m6!1s0x53a0213d…
2026-03-08 00:25:48,686 | GoogleMapsScraper    | INFO     |   [47/200] Extracting: https://www.google.com/maps/place/Flat+Boy+Burgers/data=!4m7!3m6!1s0x53a0195f196…
2026-03-08 00:26:03,942 | GoogleMapsScraper    | INFO     |   [48/200] Extracting: https://www.google.com/maps/place/The+Three+Amigos/data=!4m7!3m6!1s0x53a01f3bbb4…
2026-03-08 00:26:15,333 | GoogleMapsScraper    | INFO     |   [49/200] Extracting: https://www.google.com/maps/place/MOMO+Kitchen+Edmonton/data=!4m7!3m6!1s0x53a01f…
2026-03-08 00:26:30,157 | GoogleMapsScraper    | INFO     |   [50/200] Extracting: https://www.google.com/maps/place/Sugarbowl/data=!4m7!3m6!1s0x53a022193b2fbdd1:0…
2026-03-08 00:26:42,977 | GoogleMapsScraper    | INFO     |   [51/200] Extracting: https://www.google.com/maps/place/Original+Joe%27s/data=!4m7!3m6!1s0x53a0222aee1…
2026-03-08 00:26:54,320 | GoogleMapsScraper    | INFO     |   [52/200] Extracting: https://www.google.com/maps/place/Muggnz+Family+Restaurant/data=!4m7!3m6!1s0x53a…
2026-03-08 00:27:05,742 | GoogleMapsScraper    | INFO     |   [53/200] Extracting: https://www.google.com/maps/place/Woodshed+Burgers/data=!4m7!3m6!1s0x53a02364b45…
2026-03-08 00:27:12,767 | GoogleMapsScraper    | INFO     |   [54/200] Extracting: https://www.google.com/maps/place/Pharaohs+Restaurant/data=!4m7!3m6!1s0x53a01f5b…
2026-03-08 00:27:32,778 | GoogleMapsScraper    | INFO     |   [55/200] Extracting: https://www.google.com/maps/place/El+Furniture+Warehouse+-+Edmonton/data=!4m7!3m…
