2026-03-08 03:14:32,452 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:32,800 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:14:32,880 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/330)
2026-03-08 03:14:33,056 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/330)
2026-03-08 03:14:33,790 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/330)
2026-03-08 03:14:34,214 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/330)
2026-03-08 03:14:34,466 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/330)
2026-03-08 03:14:35,394 | XHRGoogleMapsScraper | INFO     |   'eateries': +0 (total: 0/330)
2026-03-08 03:14:36,148 | XHRGoogleMapsScraper | INFO     |   'eateries': +0 (total: 0/330)
2026-03-08 03:14:36,348 | XHRGoogleMapsScraper | INFO     |   'food shops': +0 (total: 0/330)
2026-03-08 03:14:37,567 | XHRGoogleMapsScraper | INFO     |   'food shops': +0 (total: 0/330)
2026-03-08 03:14:37,863 | XHRGoogleMapsScraper | INFO     |   'cafes': +0 (total: 0/330)
2026-03-08 03:14:38,486 | XHRGoogleMapsScraper | INFO     |   'cafes': +0 (total: 0/330)
2026-03-08 03:14:39,135 | XHRGoogleMapsScraper | INFO     |   'bistros': +0 (total: 0/330)
2026-03-08 03:14:39,297 | XHRGoogleMapsScraper | INFO     |   'bistros': +0 (total: 0/330)
2026-03-08 03:14:39,939 | XHRGoogleMapsScraper | INFO     |   'takeout food': +0 (total: 0/330)
2026-03-08 03:14:40,533 | XHRGoogleMapsScraper | INFO     |   'takeout food': +0 (total: 0/330)
2026-03-08 03:14:41,392 | XHRGoogleMapsScraper | INFO     |   'local food spots': +0 (total: 0/330)
2026-03-08 03:14:41,509 | XHRGoogleMapsScraper | INFO     |   'local food spots': +0 (total: 0/330)
2026-03-08 03:14:42,214 | XHRGoogleMapsScraper | INFO     |   'places to eat': +0 (total: 0/330)
2026-03-08 03:14:42,875 | XHRGoogleMapsScraper | INFO     |   'places to eat': +0 (total: 0/330)
2026-03-08 03:14:43,716 | XHRGoogleMapsScraper | INFO     |   'local eats': +0 (total: 0/330)
2026-03-08 03:14:44,337 | XHRGoogleMapsScraper | INFO     |   'local eats': +0 (total: 0/330)
2026-03-08 03:14:44,496 | XHRGoogleMapsScraper | INFO     |   'food near me': +0 (total: 0/330)
2026-03-08 03:14:45,164 | XHRGoogleMapsScraper | INFO     |   'food near me': +0 (total: 0/330)
2026-03-08 03:14:45,917 | XHRGoogleMapsScraper | INFO     |   'dining near me': +0 (total: 0/330)
2026-03-08 03:14:46,421 | XHRGoogleMapsScraper | INFO     |   'dining near me': +0 (total: 0/330)
2026-03-08 03:14:47,328 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:47,329 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Vancouver; running total: 0
2026-03-08 03:14:47,330 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:47,481 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:47,482 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Calgary; running total: 0
2026-03-08 03:14:47,482 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:47,721 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'automotive'
2026-03-08 03:14:47,854 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'automotive'
2026-03-08 03:14:47,970 | XHRGoogleMapsScraper | INFO     |   'automotive': +0 (total: 0/330)
2026-03-08 03:14:48,092 | XHRGoogleMapsScraper | INFO     |   'automotive': +0 (total: 0/330)
2026-03-08 03:14:49,266 | XHRGoogleMapsScraper | INFO     |   'auto repair shops': +0 (total: 0/330)
2026-03-08 03:14:49,456 | XHRGoogleMapsScraper | INFO     |   'auto repair shops': +0 (total: 0/330)
2026-03-08 03:14:50,109 | XHRGoogleMapsScraper | INFO     |   'auto detailing': +0 (total: 0/330)
2026-03-08 03:14:50,935 | XHRGoogleMapsScraper | INFO     |   'auto detailing': +0 (total: 0/330)

2026-03-08 03:14:51,999 | XHRGoogleMapsScraper | INFO     |   'auto body shops': +0 (total: 0/330)
2026-03-08 03:14:52,095 | XHRGoogleMapsScraper | INFO     |   'tire shops': +0 (total: 0/330)
2026-03-08 03:14:52,908 | XHRGoogleMapsScraper | INFO     |   'tire shops': +0 (total: 0/330)
2026-03-08 03:14:52,929 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:14:53,731 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:14:53,753 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:14:54,825 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:14:55,221 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:14:55,659 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:14:56,757 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:14:57,103 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:57,234 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Calgary; running total: 0
2026-03-08 03:14:57,234 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:57,585 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:14:57,817 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:14:58,229 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:14:58,720 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:14:59,253 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:59,254 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Vancouver; running total: 0
2026-03-08 03:14:59,255 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:14:59,601 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:14:59,844 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:15:00,249 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:15:00,866 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:15:01,313 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:15:02,020 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:15:02,551 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:15:02,699 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:15:03,637 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:15:03,960 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:15:05,378 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:15:05,561 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:15:06,447 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:15:07,251 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:15:07,796 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:15:08,734 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:15:09,382 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:15:09,693 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:15:10,770 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:15:10,944 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:15:11,752 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:15:12,050 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:15:12,921 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:15:13,010 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:15:13,852 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:15:14,663 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:15:14,764 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:15:16,274 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:15:16,429 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:15:17,426 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:15:17,626 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:15:18,414 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:15:19,083 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:15:19,846 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:15:19,946 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:15:21,051 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:15:21,410 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:15:22,606 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:15:23,010 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:15:24,077 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:15:24,151 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:15:24,718 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:15:25,121 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:15:25,842 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:15:26,172 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:15:26,697 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
2026-03-08 03:15:27,094 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:15:27,842 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:15:27,890 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:15:28,973 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
